Department,Enabled,GivenName,Manager,Name,OfficePhone,SamAccountName,Surname,Title,Password,Email
Executive,TRUE,Dan,,Dan Jump,(02) 6724 4972,danj,Jump,CEO,ki2zooBinae,danj@cuvox.de
Operations,TRUE,Adam,danj,Adam Barr,(07) 5608 7787,adamb,Barr,General Manager of Professional Services,Lae3kohng,adamb@gustr.com
Project Management,TRUE,Alan,adamb,Alan Steiner,(07) 4594 2374,alans,Steiner,Director of Project Management Team,oow4Thahd,alans@superrito.com
Project Management,TRUE,Chris,alans,Chris Norred,(07) 4073 6988,chrisn,Norred,Project Manager,eoH8aimei,chrisn@gustr.com
Operations,TRUE,Diane,adamb,Diane Tibbot,(03) 8017 8426,dianet,Tibbot,CFO of Professional Services,ahLah1vet1ai,dianet@jourrapide.com
Engineering,TRUE,Christine,adamb,Christine Koch,(07) 5396 5508,christk,Koch,Managing Director,hohYeuqu1,christk@einrot.com
Executive,TRUE,Frank,danj,Frank Martinez,(02) 9202 5054,frankm1,Martinez,COO,Veen3shoo,frankm1@superrito.com
Accounting,TRUE,Karim,dianet,Karim Manar,(08) 8759 9301,karimm,Manar,Controller,Oog8zoh0gee,karimm@superrito.com
Sales,TRUE,Dan,adamb,Dan Park,(07) 4585 4972,danp,Park,Vice President of Sales,ba0kie2Ai,danp@armyspy.com
Executive,TRUE,Jeff,frankm1,Jeff Hay,(08) 9043 3993,jeffh,Hay,CVP of Operations,Pi6Huogha,jeffh@rhyta.com
Human Resources,TRUE,Garth,karimm,Garth Fort,(08) 9474 6421,garthf,Fort,HR Manager,oPi6kachair,garthf@armyspy.com
Strategy Consulting,TRUE,Cesar,christk,Cesar Garcia,(07) 4000 9839,cesarg,Garcia,Strategy Consulting Manager,MieJi2eiNg,cesarg@rhyta.com
Executive,TRUE,Christa,jeffh,Christa Geller,(08) 8972 8925,christg,Geller,CVP of Online,Phuche7Vai,christg@rhyta.com
Sales Engagement Management,TRUE,Jack,danp,Jack Creasey,(07) 3444 2696,jackc,Creasey,Managing Director,ooxuuR0ai,jackc@cuvox.de
Strategy Consulting,TRUE,David,christk,David Maman,(02) 4663 1523,davidm,Maman,Strategy Consulting Manager,Iek2nohl2,davidm@armyspy.com
Sales,TRUE,Alan,jackc,Alan Brewer,(03) 9906 7152,alanb,Brewer,Regional Sales Manager,aeceS6neegh,alanb@jourrapide.com
Sales Engagement Management,TRUE,David,alanb,David Simpson,(08) 8245 3987,davids,Simpson,Sales Manager,seiDu5quoh,davids@rhyta.com
Senior Management,TRUE,Anna,christg,Anna Lidman,(08) 8396 7359,annal,Lidman,SVP of Online Services,Jeepeof5ch,annal@gustr.com
Sales,TRUE,Eduard,jackc,Eduard Dell,(02) 4369 4710,eduardd,Dell,Regional Sales Manager,eiSe8oope,eduardd@einrot.com
Sales,TRUE,Spencer,jackc,Spencer Low,(03) 6248 9339,spencel,Low,Regional Sales Manager,AikaGh8Ahkie,spencel@rhyta.com
Operations,TRUE,Kelly,adamb,Kelly Weadock,(02) 6113 8770,kellyw,Weadock,CTO of Professional Services,Ozaiy6ohb,kellyw@armyspy.com
Senior Management,TRUE,Molly,annal,Molly Clark,(03) 5331 4006,mollyc,Clark,GM of Online Ad Sales and Affiliate Marketing,aoxo3Ie0,mollyc@dayrep.com
Sales,TRUE,Larry,jackc,Larry Zhang,(02) 6758 8854,larryz,Zhang,Regional Sales Manager,phuJ3eic8z,larryz@dayrep.com
Operations,TRUE,Arturo,kellyw,Arturo Lopez,(07) 4054 1003,arturol,Lopez,IT Director,Ohcahmu4,arturol@armyspy.com
Sales,TRUE,April,eduardd,April Stewart,(02) 4635 2597,aprils,Stewart,Sales Manager,Pherie5ch,aprils@jourrapide.com
Strategy Consulting,TRUE,Aaron,christk,Aaron Painter,(03) 5325 1922,aaronp,Painter,Strategy Consulting Manager,uje5Deizah6,aaronp@fleckens.hu
Project Management,TRUE,Andrew,alans,Andrew Ma,(07) 4060 9003,andrewm,Ma,Senior Project Manager,aW3AiriPh,andrewm@einrot.com
Marketing,TRUE,Diane,mollyc,Diane Prescott,(07) 3642 9127,dianep,Prescott,Director of Ad Sales,eimae9mew6E,dianep@rhyta.com
Sales Engagement Management,TRUE,Arthur,spencel,Arthur Yasinski,(03) 5343 6251,arthury,Yasinski,Sales Manager,iye1aiPaid,arthury@superrito.com
Strategy Consulting,TRUE,Brad,christk,Brad Sutton,(02) 6146 3992,brads,Sutton,Strategy Consulting Manager,im1AhZ6vah,brads@armyspy.com
Human Resources,TRUE,Amy,garthf,Amy Alberts,(03) 5314 8913,amya,Alberts,HR Manager,Aht6nei6,amya@fleckens.hu
Sales,TRUE,Steve,jackc,Steve Luper,(02) 6118 2536,stevel,Luper,Regional Sales Manager,ohg7uoGee,stevel@rhyta.com
Senior Management,TRUE,Julian,mollyc,Julian Isla,(02) 4917 4744,juliani,Isla,Senior Business Development Manager,oageev2weiW,juliani@rhyta.com
Project Management,TRUE,Scott,alans,Scott Bishop,(07) 4587 2847,scottb,Bishop,Senior Project Manager,Veixae9zeeL,scottb@gustr.com
Marketing,TRUE,Kelly,adamb,Kelly Krout,(02) 6797 7647,kellyk,Krout,Marketing Manager,ue3aSe7Quae,kellyk@jourrapide.com
Content Management Consulting,TRUE,Stan,alans,Stan Orme,(03) 5361 9297,stano,Orme,Content Management Consulting Manager,au4ooy3eG,stano@dayrep.com
Project Management,TRUE,Mike,alans,Mike Nash,(08) 8380 7945,miken,Nash,Senior Project Manager,uShai9ja8Wie,miken@jourrapide.com
Strategy Consulting,TRUE,Jenni,davidm,Jenni Merrifield,(02) 4975 6726,jennim,Merrifield,Strategy Consultant,haexei5Ith,jennim@teleworm.us
Operations,TRUE,Keith,adamb,Keith Dishmo,(02) 4785 9113,keithd,Dishmo,Procurement Manager,eir5ThooLai,keithd@armyspy.com
Sales,TRUE,Jose,larryz,Jose Saraiva,(02) 6791 0924,joses,Saraiva,Sales Manager,Eich0eiJ,joses@superrito.com
Sales Engagement Management,TRUE,Lene,stevel,Lene Aalling,(03) 6245 0764,lenea,Aalling,Sales Manager,Eti7ujohZ,lenea@teleworm.us
Project Management,TRUE,Barry,alans,Barry Johnson,(03) 5312 8175,barryj,Johnson,Project Manager,Shaex8aev,barryj@armyspy.com
Strategy Consulting,TRUE,Ellen,christk,Ellen Adams,(02) 6183 1879,ellena,Adams,Strategy Consulting Manager,piiCh6oghi,ellena@rhyta.com
Operations,TRUE,Ben,adamb,Ben Spain,(07) 4014 2494,bens,Spain,Manager,ohng4ueFaeTh,bens@jourrapide.com
Engineering Operations,TRUE,David,adamb,David Zazzo,(02) 6762 2905,davidz,Zazzo,Managing Director,Xohnge1xei,davidz@teleworm.us
Engineering Operations,TRUE,Carol,davidz,Carol Troup,(08) 8262 3924,carolt,Troup,Strategy Consulting Manager,Hiewoa4woh,carolt@rhyta.com
Operations,TRUE,Erika,bens,Erika Cheley,(02) 6776 3364,erikac,Cheley,Manager,aiTieg1Fei,erikac@einrot.com
Project Management,TRUE,Brian,barryj,Brian Groth,(02) 4935 7411,briang,Groth,Project Manager,ojuPho9ae,briang@teleworm.us
CRM Strategy,TRUE,Syed,aaronp,Syed Abbas,(08) 9066 8624,syeda,Abbas,CRM Consulting Manager,rood2Jujoh,syeda@teleworm.us
Content Management Consulting,TRUE,Peder,stano,Peder Thode,(08) 8778 4562,pedert,Thode,Content Management Consultant,ziwie0Avae,pedert@superrito.com
Content Management Consulting,TRUE,Mary,stano,Mary Cha,(02) 4978 9753,maryc,Cha,Content Management Consultant,ahru8Poy,maryc@jourrapide.com
Content Management Consulting,TRUE,Lisa,stano,Lisa Andrews,(02) 6245 7805,lisaa,Andrews,Content Management Consultant,Soyeiz1cax,lisaa@jourrapide.com
Content Management Consulting,TRUE,Jim,stano,Jim Lucey,(03) 6295 5637,jiml,Lucey,Content Management Consultant,Ja2queo7,jiml@jourrapide.com
Content Management Consulting,TRUE,Gareth,stano,Gareth Chan,(03) 9858 6029,garethc,Chan,Content Management Consultant,SahThah3a,garethc@teleworm.us
CRM Strategy,TRUE,Karin,syeda,Karin Lamb,(08) 8746 6353,karinl,Lamb,CRM Consultant,Lohw7kai,karinl@teleworm.us
Content Management Consulting,TRUE,David,stano,David Hamilton,(02) 6756 2226,davidh,Hamilton,CRM Consultant,aejieN6g,davidh@superrito.com
CRM Strategy,TRUE,Merav,syeda,Merav Sror,(02) 4280 4034,meravs,Sror,CRM Consultant,heeHoo7z,meravs@gustr.com
Content Management Consulting,TRUE,Reina,stano,Reina Cabatana,(02) 4068 2772,reinac,Cabatana,Content Management Consultant,ooz6RohCah,reinac@armyspy.com
Content Management Consulting,TRUE,Robin,stano,Robin Young,(08) 9028 1525,robiny,Young,Content Management Consultant,eiQueizo6ei,robiny@einrot.com
Content Management Consulting,TRUE,Peter,stano,Peter Saddow,(03) 5340 7517,peters,Saddow,Content Management Consultant,oofia1Ee,peters@einrot.com
Content Management Consulting,TRUE,Vladimir,stano,Vladimir Egorov,(02) 4003 1580,vladime,Egorov,Content Management Consultant,ojeiW6ohj,vladime@armyspy.com
Content Management Consulting,TRUE,Esther,stano,Esther Valle,(07) 3408 9815,estherv,Valle,Content Management Consultant,eedo3caiTh,estherv@fleckens.hu
Strategy Consulting,TRUE,Lori,brads,Lori Kane,(02) 6707 3732,lorik,Kane,Strategy Consultant,vao6iShae,lorik@dayrep.com
Engineering Operations,TRUE,Cliff,carolt,Cliff Diddier,(03) 9788 2361,cliffd,Diddier,Engineer,shae2oVoh,cliffd@dayrep.com
Engineering Operations,TRUE,Chen,carolt,Chen Yang,(07) 4596 8785,cheny,Yang,Engineer,Hoos4moo,cheny@cuvox.de
Engineering Operations,TRUE,Bernard,carolt,Bernard Tham,(08) 8394 6279,bernart,Tham,Engineer,gooSai3l,bernart@einrot.com
Engineering Operations,TRUE,Ari,carolt,Ari Suominen,(07) 4983 4412,aris,Suominen,Engineer,Gaisheep8a,aris@armyspy.com
Creative,TRUE,Anu,carolt,Anu Deshpande,(03) 6232 4453,anud,Deshpande,Engineer,thahrauMae1,anud@cuvox.de
